,DD1,DD2,Start
1,31.09951,-2.83581,1947.0
2,26.71895,0.27691,1961.0
3,-7.92587,28.527659999999997,1977.0
4,30.12575,30.605139,1950.0
5,-2.9408,40.2134,1964.0
6,26.993920000000003,14.46425,1981.0
7,20.92856,-17.03153,1973.0
8,-34.60265,20.30248,1989.0
1,30.93743,119.20575,1960.0
2,41.11803,100.4633,1970.0
3,39.143209999999996,111.96741000000002,1980.0
4,28.24646,102.02814000000001,1984.0
5,19.6144917,110.95113329999998,2016.0
7,8.5314,76.869,1962.0
8,13.7374,80.2351,1971.0
10,-7.646642999999999,107.68901799999999,1965.0
11,34.65,50.9,1991.0
12,36.42,55.02,1998.0
13,35.234631,53.920941000000006,2009.0
14,32.7822,44.299620000000004,1989.0
15,31.884840000000004,34.6802,1987.0
16,39.57148,140.05785,1956.0
17,31.251859999999997,131.07914,1962.0
18,30.390959999999996,130.96813,1967.0
19,39.03,141.83,1970.0
22,45.95515,63.350280000000005,1957.0
23,46.38,72.87,1958.0
24,40.85572,129.66586999999998,1998.0
25,39.66,124.705,2012.0
26,36.70211,126.47158,1993.0
27,34.42585,127.52793,2008.0
29,25.192420000000002,66.74880999999999,1960.0
30,33.3961,73.29608,1980.0
31,80.45,58.05,1956.0
32,51.83441,128.2757,1957.0
33,48.97,140.3,1963.0
34,59.367,143.25,1981.0
35,51.20706,59.850030000000004,2006.0
36,51.883,128.333,28201632.0
37,22.1,120.9,1988.0
1,43.04507,6.47887,1948.0
2,52.35,13.21,1930.0
3,54.143,13.794,1942.0
4,53.84884,8.59154,1945.0
5,52.939002,8.312515,1952.0
6,54.44008,12.784310000000001,1970.0
7,36.7698,21.9316,1966.0
8,63.41891,-19.00463,1964.0
9,39.52731,9.63303,1964.0
10,69.2943,16.0207,1962.0
11,58.2,7.3,1983.0
12,78.2234,15.647,1997.0
13,53.6197,17.984920000000002,1944.0
14,54.769040000000004,17.59355,1941.0
15,54.754486,17.517919,1963.0
16,50.1819,21.6162,1943.0
17,48.578070000000004,46.2542,1957.0
18,64.64928,39.18721,1965.0
19,62.92556,40.57778,1966.0
20,37.09687,-6.738630000000001,1966.0
21,66.357202,19.275813,1961.0
22,66.4147,19.2767,1961.0
23,67.89341999999999,21.10429,1966.0
24,67.89341999999999,21.10429,1972.0
25,50.663934499999996,-1.5763664,1956.0
26,57.33,-7.33,1959.0
1,58.7343,-93.8203,1954.0
2,74.687,-94.8962,1966.0
3,68.77606999999999,-81.24346,1971.0
4,56.333,-103.23299999999999,1980.0
5,76.424,-68.2936,1964.0
6,37.84621,-75.47938,1945.0
7,32.5646,-106.35908,1946.0
8,36.7715,-116.11373999999999,1950.0
9,28.46675,-80.55852,1956.0
10,34.772040000000004,-120.60123999999999,1958.0
11,28.6082,-80.604,1963.0
12,22.022779999999997,-159.785,1963.0
13,47.4298,-87.71443000000001,1964.0
14,57.43533000000001,-152.33931,1991.0
15,35.0591,-118.1488,2004.0
16,32.88943,-106.99945,2006.0
17,37.833378,-75.483284,2006.0
2,-35.523889000000004,-57.183889,2014.0
3,-30.127370000000003,-66.34082,1962.0
4,-30.6333,-65.3833,2009.0
5,-27.095309999999998,-58.753519999999995,1966.0
6,-22.76158,-63.823809999999995,1966.0
7,-37.724270000000004,-57.40512,1968.0
8,-33.7246,-65.3773,1973.0
9,-31.5833,-64.8333,1961.0
10,-5.866,-35.383,1965.0
11,-32.08338,-52.16725,1966.0
12,-2.316,-44.3676,1990.0
13,5.23739,-52.7695,1968.0
14,-12.504769999999999,-76.79849,19741983.0
15,-12.5,-76.8,1983.0
16,5.8724099999999995,-56.289080000000006,1965.0
1,-30.95875,136.50366,1950.0
2,-24.48564,113.40866000000001,1964.0
3,-30.98309,115.31773999999999,1974.0
4,9.048167,167.743083,1950.0
6,-39.26044,177.86431000000002,2017.0
3,55.04917,15.603060000000001,2010.0
