,Library,NAME,Empty,Loc
1,"Timgad (250 A.D.) (modern Algeria)The library was a gift to the Roman people and province of Thamugadi or Timgad by  Julius Quintianus Flavius Rogatianus in the third century. The library contained an expansive arched hall which consisted of a reading room, stack room, and a rotunda for lectures. The library was quite large measuring eighty one feet in length by seventy seven feet in width. Oblong alcoves held wooden cabinets along walls of which the manuscripts were maintained. In addition there is evidence for free-standing bookcases in the center as well as a reading desk. There is no evidence as to how many books the library harbored although it is estimated that it could have accommodated 3000 scrolls.",Algeria,,"Timgad250 A.D.(modern Algeriahe library was a gift to the Roman people and province of Thamugadi or Timgad by  Julius Quintianus Flavius Rogatianus in the third century. The library contained an expansive arched hall which consisted of a reading room, stack room, and a rotunda for lectures. The library was quite large measuring eighty one feet in length by seventy seven feet in width. Oblong alcoves held wooden cabinets along walls of which the manuscripts were maintained. In addition there is evidence for free-standing bookcases in the center as well as a reading desk. There is no evidence as to how many books the library harbored although it is estimated that it could have accommodated 3000 scrolls."
3,Hattusa (1900 B.C. - 1190 B.C.) (modern Bogazkoy)This archive constituted the largest collection of Hittite texts discovered with approximately thirty thousand inscribed cuneiform tablets. The tablets had also been classified according to a precise system.,Turkey,,Hattusa1900 B.C. - 1190 B.C.(modern Bogazkoyhis archive constituted the largest collection of Hittite texts discovered with approximately thirty thousand inscribed cuneiform tablets. The tablets had also been classified according to a precise system.
4,Royal Library of Antioch (221 B.C. - 363 A.D.) (Modern Antakya)The library was commissioned in the third century B.C. by Euphorion of Chalcis by the Greek sovereign Antiochus III the Great. Euphorion was an academic and was also the chief librarian.,Turkey,,Royal Library of Antioch221 B.C. - 363 A.D.(Modern Antakyahe library was commissioned in the third century B.C. by Euphorion of Chalcis by the Greek sovereign Antiochus III the Great. Euphorion was an academic and was also the chief librarian.
5,"Library of Pergamum (197 B.C. - 159 B.C.) (modern Bergama)The Attalid kings formed the second best Hellenistic library after Alexandria, founded in emulation of the Ptolemies. Parchment, a predecessor of vellum and paper, was widely used in the library, and came to be known as pergamum after the city.  The library had collected over 200,000 volumes and the reason why the library was so successful was because of Pergamum's hegemony which was a purveyor of scholarship.",Turkey,,"Library of Pergamum197 B.C. - 159 B.C.(modern Bergamahe Attalid kings formed the second best Hellenistic library after Alexandria, founded in emulation of the Ptolemies. Parchment, a predecessor of vellum and paper, was widely used in the library, and came to be known as pergamum after the city.  The library had collected over 200,000 volumes and the reason why the library was so successful was because of Pergamum's hegemony which was a purveyor of scholarship."
6,"Library of Celsus (135 A.D. - 262) (located within the city of Ephesus)This library was part of the triumvirate of libraries in the Mediterranean which included the aforementioned Library of Pergamum and the great Library of Alexandria listed below. The library was actually a tomb and a shrine for the deceased Tiberius Julius Celsus Polemaeanus for whom the library is named. 12,000 volumes were collected at this library which were deposited in several cabinets along the wall.",Turkey,,"Library of Celsus135 A.D. - 262(located within the city of Ephesushis library was part of the triumvirate of libraries in the Mediterranean which included the aforementioned Library of Pergamum and the great Library of Alexandria listed below. The library was actually a tomb and a shrine for the deceased Tiberius Julius Celsus Polemaeanus for whom the library is named. 12,000 volumes were collected at this library which were deposited in several cabinets along the wall."
7,"The Imperial Library of Constantinople  (337â€“361 A.D. â€“ 29 May 1453) (Constantinople, modern Istanbul)The library was established by Constantius II who was the son of the first Christian emperor Constantine. Constantius requested that the rolls of papyrus should be copied onto parchment or vellum in order that they would be preserved. It is known that several documents from the Library of Alexandria were spared incineration and secured here at the library. Some assessments place the collection at just over 100,000 volumes which included papyrus scrolls and codices bound in parchment, although 120,000 volumes had been destroyed in a fire in a.d. 473.",Turkey,,"The Imperial Library of Constantinople 337â€“361 A.D. â€“ 29 May 1453(Constantinople, modern Istanbulhe library was established by Constantius II who was the son of the first Christian emperor Constantine. Constantius requested that the rolls of papyrus should be copied onto parchment or vellum in order that they would be preserved. It is known that several documents from the Library of Alexandria were spared incineration and secured here at the library. Some assessments place the collection at just over 100,000 volumes which included papyrus scrolls and codices bound in parchment, although 120,000 volumes had been destroyed in a fire in a.d. 473."
9,"Han Imperial Library. Catalogue preserved in the Yiwenzhi chapter of the Book of Han. At the time of inventory contained 596 works divided into six genres; scripture, philosophy, poetry, warfare, astrology, and medicine.",China,,"Han Imperial Library. Catalogue preserved in the Yiwenzhi chapter of the Book of Han. At the time of inventory contained 596 works divided into six genres; scripture, philosophy, poetry, warfare, astrology, and medicine."
10,"Qin reign (third century BCE): It was the practice of Chinese emperors to assemble and maintain their official written archive. The first Qin emperor was a determined opponent of Confucianism, and worked to eradicate texts and teachings of that philosophy.",China,,"Qin reignthird century BCE It was the practice of Chinese emperors to assemble and maintain their official written archive. The first Qin emperor was a determined opponent of Confucianism, and worked to eradicate texts and teachings of that philosophy."
11,"Tang dynasty (6thâ€“10th century): The Tang Dynasty is known as the Golden Age of Imperial Chinese history. Academy libraries were places where young men came to study for civil service exams, and became an important part of the Chinese meritocracy. Private collection of books was also common during this time. Wood-block printing spread throughout the kingdom at this time, making books more affordable. Social status was determined, in part, by the cultural refinement acquired through personal book collections.",China,,"Tang dynasty6thâ€“10th century The Tang Dynasty is known as the Golden Age of Imperial Chinese history. Academy libraries were places where young men came to study for civil service exams, and became an important part of the Chinese meritocracy. Private collection of books was also common during this time. Wood-block printing spread throughout the kingdom at this time, making books more affordable. Social status was determined, in part, by the cultural refinement acquired through personal book collections."
13,"The Royal Library of Alexandria, Egypt, fl. 3rd century BC (c. 295 BC).Founded by Ptolemy, this library was said to have amassed an estimated 400,000 manuscripts and was considered the leading intellectual metropolis of the Hellenistic world. The Serapeum in Alexandria served as an extension of the library.",Egypt,,"The Royal Library of Alexandria, Egypt, fl. 3rd century BCc. 295 BCFounded by Ptolemy, this library was said to have amassed an estimated 400,000 manuscripts and was considered the leading intellectual metropolis of the Hellenistic world. The Serapeum in Alexandria served as an extension of the library."
